"id","l10n_bg_saft_account_code"
"l10n_bg_665","605"
"l10n_bg_669","679"
"l10n_bg_671","671"
"l10n_bg_672","672"
"l10n_bg_679","679"
"l10n_bg_681","661"
"l10n_bg_682","662"
"l10n_bg_683","124"
"l10n_bg_684","762"
"l10n_bg_685","6071"
"l10n_bg_689","789"
"l10n_bg_691","699"
"l10n_bg_701","701"
"l10n_bg_702","702"
"l10n_bg_703","703"
"l10n_bg_704","708"
"l10n_bg_705","705"
"l10n_bg_706","706"
"l10n_bg_707","124"
"l10n_bg_709","709"
"l10n_bg_711","703"
"l10n_bg_712","722"
"l10n_bg_713","708"
"l10n_bg_714","755"
"l10n_bg_715","708"
"l10n_bg_719","709"
"l10n_bg_721","721"
"l10n_bg_722","722"
"l10n_bg_723","723"
"l10n_bg_724","724"
"l10n_bg_725","725"
"l10n_bg_726","728"
"l10n_bg_729","729"
"l10n_bg_731","707"
"l10n_bg_751","751"
"l10n_bg_752","752"
"l10n_bg_753","753"
"l10n_bg_754","754"
"l10n_bg_761","761"
"l10n_bg_762","762"
"l10n_bg_763","763"
"l10n_bg_764","764"
"l10n_bg_765","765"
"l10n_bg_769","769"
"l10n_bg_771","771"
"l10n_bg_772","772"
"l10n_bg_773","762"
"l10n_bg_774","774"
"l10n_bg_775","776"
"l10n_bg_779","779"
"l10n_bg_781","781"
"l10n_bg_782","782"
"l10n_bg_783","783"
"l10n_bg_784","784"
"l10n_bg_789","789"
"l10n_bg_791","799"
"l10n_bg_911","981"
"l10n_bg_912","911"
"l10n_bg_913","912"
"l10n_bg_914","914"
"l10n_bg_915","913"
"l10n_bg_921","992"
"l10n_bg_922","993"
"l10n_bg_923","709"
"l10n_bg_924","914"
"l10n_bg_925","925"
"l10n_bg_931","474"
"l10n_bg_932","60903"
"l10n_bg_933","725"
"l10n_bg_934","448"
"l10n_bg_941","923"
"l10n_bg_942","728"
"l10n_bg_943","729"
"l10n_bg_945","922"
"l10n_bg_951","994"
"l10n_bg_952","925"
"l10n_bg_953","754"
"l10n_bg_954","923"
"l10n_bg_955","448"
"l10n_bg_956","994"
"l10n_bg_961","197"
"l10n_bg_962","764"
"l10n_bg_971","114"
"l10n_bg_972","769"
"l10n_bg_981","119"
"l10n_bg_982","411"
"l10n_bg_983","925"
"l10n_bg_984","984"
"l10n_bg_989","984"
"l10n_bg_991","994"
"l10n_bg_791001","724"
"l10n_bg_691001","624"
